episode,step,veh_id,target,power,reward,q_len
1,0,0,1,0.210,0.845,0
1,0,1,0,0.223,0.853,0
1,0,2,0,0.523,0.853,0
1,0,3,1,0.471,0.845,0
1,0,4,0,0.691,0.853,0
1,0,5,0,0.403,0.853,0
1,0,6,1,0.183,0.846,0
1,0,7,0,0.152,0.853,0
1,0,8,0,0.365,0.853,0
1,0,9,1,0.890,0.847,0
1,0,10,1,0.369,0.846,0
1,0,11,0,0.311,0.853,0
1,1,0,1,0.027,0.650,0
1,1,1,0,0.765,0.650,0
1,1,2,0,0.777,0.650,0
1,1,3,1,0.837,0.650,0
1,1,4,1,0.108,0.650,0
1,1,5,1,0.138,0.650,0
1,1,6,0,0.136,0.650,0
1,1,7,1,0.261,0.650,0
1,1,8,1,0.732,0.650,0
1,1,9,1,0.650,0.650,0
1,1,10,0,0.202,0.650,0
1,1,11,1,0.338,0.650,0
1,2,0,1,0.938,0.622,0
1,2,1,0,0.745,0.622,0
1,2,2,1,0.339,0.622,0
1,2,3,0,0.616,0.622,0
1,2,4,1,0.232,0.622,0
1,2,5,0,0.780,0.622,0
1,2,6,0,0.542,0.622,0
1,2,7,1,0.643,0.622,0
1,2,8,0,0.191,0.622,0
1,2,9,0,0.298,0.622,0
1,2,10,1,0.776,0.622,0
1,2,11,0,0.673,0.622,0
1,3,0,1,0.297,0.244,0
1,3,1,1,0.304,0.244,0
1,3,2,0,0.346,0.244,0
1,3,3,0,0.348,0.244,0
1,3,4,0,0.485,0.244,0
1,3,5,0,0.914,0.244,0
1,3,6,0,0.893,0.244,0
1,3,7,1,0.161,0.244,0
1,3,8,0,0.423,0.244,0
1,3,9,1,0.878,0.244,0
1,3,10,1,0.126,0.244,0
1,3,11,0,0.425,0.244,0
1,4,0,0,0.718,0.256,1
1,4,1,0,0.240,0.256,0
1,4,2,0,0.429,0.256,0
1,4,3,0,0.247,0.256,0
1,4,4,1,0.730,0.256,0
1,4,5,0,0.745,0.256,0
1,4,6,0,0.385,0.256,0
1,4,7,1,0.520,0.256,0
1,4,8,1,0.648,0.256,0
1,4,9,1,0.830,0.256,0
1,4,10,1,0.739,0.256,0
1,4,11,1,0.656,0.256,0
1,5,0,0,0.350,0.232,0
1,5,1,1,0.257,0.232,0
1,5,2,1,0.325,0.232,0
1,5,3,0,0.482,0.232,0
1,5,4,1,0.601,0.232,0
1,5,5,0,0.168,0.232,0
1,5,6,1,0.411,0.232,0
1,5,7,1,0.249,0.232,0
1,5,8,0,0.798,0.232,0
1,5,9,0,0.753,0.232,0
1,5,10,0,0.390,0.232,1
1,5,11,1,0.559,0.232,0
1,6,0,1,0.528,0.271,0
1,6,1,1,0.316,0.271,0
1,6,2,0,0.307,0.271,0
1,6,3,0,0.542,0.271,0
1,6,4,0,0.611,0.271,0
1,6,5,1,0.192,0.271,0
1,6,6,0,0.598,0.271,0
1,6,7,0,0.433,0.271,0
1,6,8,0,0.582,0.271,0
1,6,9,1,0.453,0.271,0
1,6,10,1,0.464,0.271,0
1,6,11,1,0.517,0.271,0
1,7,0,0,0.314,-0.000,0
1,7,1,1,0.343,-0.000,0
1,7,2,0,0.453,-0.000,0
1,7,3,0,0.694,-0.000,0
1,7,4,0,0.443,-0.000,0
1,7,5,0,0.580,-0.000,0
1,7,6,1,0.540,-0.000,0
1,7,7,1,0.050,-0.000,0
1,7,8,0,0.770,-0.000,0
1,7,9,1,0.480,-0.000,0
1,7,10,1,0.938,-0.000,0
1,7,11,1,0.406,-0.000,0
1,8,0,1,0.344,-0.000,0
1,8,1,1,0.763,-0.000,0
1,8,2,1,0.827,-0.000,0
1,8,3,1,0.458,-0.000,0
1,8,4,0,0.351,-0.000,0
1,8,5,0,0.102,-0.000,0
1,8,6,0,0.618,-0.000,0
1,8,7,1,0.214,-0.000,0
1,8,8,0,0.260,-0.000,0
1,8,9,1,0.310,-0.000,0
1,8,10,1,0.713,-0.000,0
1,8,11,1,0.453,-0.000,0
1,9,0,0,0.254,0.000,0
1,9,1,0,0.704,0.000,0
1,9,2,1,0.782,0.000,0
1,9,3,1,0.785,0.000,0
1,9,4,1,0.523,0.000,0
1,9,5,0,0.645,0.000,0
1,9,6,0,0.459,0.000,0
1,9,7,1,0.645,0.000,0
1,9,8,1,0.219,0.000,0
1,9,9,0,0.412,0.000,0
1,9,10,1,0.725,0.000,0
1,9,11,1,0.444,0.000,0
1,10,0,1,0.375,0.000,0
1,10,1,0,0.613,0.000,0
1,10,2,0,0.178,0.000,0
1,10,3,1,0.059,0.000,0
1,10,4,0,0.597,0.000,0
1,10,5,1,0.234,0.000,0
1,10,6,0,0.462,0.000,0
1,10,7,1,0.383,0.000,0
1,10,8,0,0.406,0.000,0
1,10,9,1,0.492,0.000,0
1,10,10,1,0.593,0.000,0
1,10,11,0,0.681,0.000,0
1,11,0,0,0.552,-0.000,0
1,11,1,1,0.632,-0.000,0
1,11,2,1,0.481,-0.000,0
1,11,3,1,0.911,-0.000,0
1,11,4,1,0.886,-0.000,0
1,11,5,1,0.655,-0.000,0
1,11,6,1,0.445,-0.000,0
1,11,7,1,0.124,-0.000,0
1,11,8,0,0.297,-0.000,0
1,11,9,0,0.496,-0.000,0
1,11,10,1,0.460,-0.000,0
1,11,11,0,0.773,-0.000,0
1,12,0,1,0.804,-0.000,0
1,12,1,1,0.324,-0.000,0
1,12,2,0,0.620,-0.000,0
1,12,3,1,0.281,-0.000,0
1,12,4,1,0.760,-0.000,0
1,12,5,0,0.603,-0.000,0
1,12,6,0,0.770,-0.000,0
1,12,7,1,0.375,-0.000,0
1,12,8,1,0.259,-0.000,0
1,12,9,0,0.239,-0.000,0
1,12,10,1,0.770,-0.000,0
1,12,11,1,0.625,-0.000,0
1,13,0,0,0.420,0.000,0
1,13,1,0,0.669,0.000,0
1,13,2,1,0.707,0.000,0
1,13,3,0,0.855,0.000,0
1,13,4,1,0.711,0.000,0
1,13,5,0,0.692,0.000,0
1,13,6,0,0.725,0.000,0
1,13,7,0,0.550,0.000,0
1,13,8,1,0.844,0.000,0
1,13,9,0,0.479,0.000,0
1,13,10,0,0.382,0.000,0
1,13,11,1,0.656,0.000,0
1,14,0,0,0.231,-0.000,0
1,14,1,1,0.679,-0.000,0
1,14,2,1,0.271,-0.000,0
1,14,3,1,0.454,-0.000,0
1,14,4,1,0.590,-0.000,0
1,14,5,0,0.544,-0.000,0
1,14,6,1,0.708,-0.000,0
1,14,7,0,0.014,-0.000,0
1,14,8,1,0.822,-0.000,0
1,14,9,1,0.253,-0.000,0
1,14,10,1,0.315,-0.000,0
1,14,11,1,0.325,-0.000,0
1,15,0,1,0.116,0.000,0
1,15,1,0,0.334,0.000,0
1,15,2,1,0.079,0.000,0
1,15,3,1,0.905,0.000,0
1,15,4,0,0.591,0.000,0
1,15,5,0,0.613,0.000,0
1,15,6,1,0.816,0.000,0
1,15,7,0,0.691,0.000,0
1,15,8,1,0.418,0.000,0
1,15,9,1,0.087,0.000,0
1,15,10,0,0.388,0.000,0
1,15,11,0,0.622,0.000,0
1,16,0,0,0.454,0.000,0
1,16,1,0,0.965,0.000,0
1,16,2,0,0.269,0.000,0
1,16,3,0,0.567,0.000,0
1,16,4,1,0.322,0.000,0
1,16,5,1,0.105,0.000,0
1,16,6,1,0.428,0.000,0
1,16,7,1,0.453,0.000,0
1,16,8,1,0.664,0.000,0
1,16,9,1,0.322,0.000,0
1,16,10,0,0.161,0.000,0
1,16,11,0,0.718,0.000,0
1,17,0,0,0.598,-0.000,0
1,17,1,1,0.292,-0.000,0
1,17,2,1,0.597,-0.000,0
1,17,3,0,0.833,-0.000,0
1,17,4,0,0.319,-0.000,0
1,17,5,0,0.416,-0.000,0
1,17,6,1,0.399,-0.000,0
1,17,7,0,0.373,-0.000,0
1,17,8,1,0.349,-0.000,0
1,17,9,1,0.858,-0.000,0
1,17,10,1,0.402,-0.000,0
1,17,11,1,0.464,-0.000,0
1,18,0,1,0.420,-0.000,0
1,18,1,1,0.254,-0.000,0
1,18,2,0,0.715,-0.000,0
1,18,3,1,0.692,-0.000,0
1,18,4,0,0.573,-0.000,0
1,18,5,1,0.448,-0.000,0
1,18,6,0,0.416,-0.000,0
1,18,7,0,0.379,-0.000,0
1,18,8,1,0.797,-0.000,0
1,18,9,0,0.370,-0.000,0
1,18,10,1,0.862,-0.000,0
1,18,11,0,0.511,-0.000,0
1,19,0,0,0.790,0.000,0
1,19,1,1,0.792,0.000,0
1,19,2,1,0.100,0.000,0
1,19,3,0,0.534,0.000,0
1,19,4,1,0.311,0.000,0
1,19,5,1,0.071,0.000,0
1,19,6,1,0.377,0.000,0
1,19,7,1,0.209,0.000,0
1,19,8,1,0.571,0.000,0
1,19,9,0,0.804,0.000,0
1,19,10,1,0.517,0.000,0
1,19,11,1,0.652,0.000,0
1,20,0,0,0.754,-0.000,0
1,20,1,0,0.494,-0.000,0
1,20,2,1,0.375,-0.000,0
1,20,3,0,0.537,-0.000,0
1,20,4,0,0.286,-0.000,0
1,20,5,0,0.772,-0.000,0
1,20,6,1,0.369,-0.000,0
1,20,7,0,0.189,-0.000,0
1,20,8,1,0.569,-0.000,0
1,20,9,0,0.746,-0.000,0
1,20,10,0,0.641,-0.000,0
1,20,11,0,0.670,-0.000,0
1,21,0,0,0.702,0.000,0
1,21,1,1,0.814,0.000,0
1,21,2,1,0.601,0.000,0
1,21,3,1,0.173,0.000,0
1,21,4,0,0.757,0.000,0
1,21,5,0,0.393,0.000,0
1,21,6,0,0.781,0.000,0
1,21,7,1,0.552,0.000,0
1,21,8,1,0.799,0.000,0
1,21,9,1,0.641,0.000,0
1,21,10,1,0.579,0.000,0
1,21,11,1,0.743,0.000,0
1,22,0,0,0.227,-0.000,0
1,22,1,1,0.647,-0.000,0
1,22,2,0,0.549,-0.000,0
1,22,3,1,0.614,-0.000,0
1,22,4,0,0.210,-0.000,0
1,22,5,0,0.552,-0.000,0
1,22,6,1,0.731,-0.000,0
1,22,7,0,0.613,-0.000,0
1,22,8,0,0.477,-0.000,0
1,22,9,0,0.562,-0.000,0
1,22,10,1,0.484,-0.000,0
1,22,11,1,0.511,-0.000,0
1,23,0,0,0.859,-0.000,0
1,23,1,0,0.824,-0.000,0
1,23,2,0,0.369,-0.000,0
1,23,3,1,0.299,-0.000,0
