window,n,task_success_rate,subtask_success_rate,deadline_miss_rate,time_limit_rate,mean_cft_est,reward_mean,decision_local_frac,decision_rsu_frac,decision_v2v_frac,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,I_total_p95,I_caused_p95,avail_V,neighbor_count_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu
全程,1000,0.7274999999999999,0.8926983555965619,0.2725,0.193,13.740548273859009,-0.7795605748732387,0.030609109851608866,0.8944506101069014,0.0749402800414897,0.0,0.7899704089145587,0.0,0.03516897542533887,0.07567651957364435,0.21877431078018678,0.3543169747456859,0.0,0.22621947947543175,0.5373455438032746,0.24181643989980225,1.8427995170578106e-06,1.8427995170578106e-06,0.6090018981804142,11.57103606542787,0.34302205345289943,-0.013413074036314584
末500,500,0.8452000000000001,0.9711172495474064,0.15480000000000002,0.0,11.36260184024809,-0.0057155983686188756,0.0002841345131424284,0.9974828059385444,0.00223305954831317,0.0,0.7578835348051551,0.0,0.048507017277077166,0.03557715180816811,0.0,0.4842677369427019,0.0,0.2269160295249262,0.5629232367545367,0.15274964984804396,0.0,0.0,0.6103470964508225,11.596594832565629,0.43843852562106045,-0.0875234561195961
末300,300,0.8375000000000001,0.9676943973778471,0.1625,0.0,11.38888203538257,-0.00527936975578389,0.00022734191430230302,0.9983320442926716,0.0014406137930258888,0.0,0.7575685291248823,0.0,0.048595360962966974,0.024191928481833862,0.0,0.4898160898786741,0.0,0.22958759334133633,0.5633550999214253,0.14982453451553987,0.0,0.0,0.6098685539653921,11.587502525342451,0.4385692098844122,-0.08943977754300603
末200,200,0.83875,0.9671667075543918,0.16125,0.0,11.336349304199198,-0.004975937632843849,0.00020853337671040203,0.9987203847292315,0.0010710818940581944,0.0,0.7562281416531872,0.0,0.0484287018797776,0.019765669856318595,0.0,0.4873239526033174,0.0,0.2282800982156106,0.5656667736619712,0.1491790619157255,0.0,0.0,0.60977767114038,11.585775751667223,0.44478819534917863,-0.09182579440002726
末100,100,0.8205,0.9618808696014802,0.17950000000000002,0.0,11.33592985239027,-0.005324480568815487,0.0002538411985061,0.9986327685858077,0.0011133902156861921,0.0,0.7562859556917679,0.0,0.04822705206336255,0.0212275469157283,0.0,0.4852061141163739,0.0,0.22703308514660234,0.5621523012220859,0.14849910157918936,0.0,0.0,0.6143026586219071,11.671750513816237,0.4585462433817147,-0.09806925294153786
末50,50,0.7980000000000002,0.9549415527240095,0.20200000000000004,0.0,11.451855926513659,-0.006570863226079376,0.000129462642269048,0.9987462735298953,0.001124263827835712,0.0,0.7567290327399925,0.0,0.047804128556730774,0.0190384535407462,0.0,0.49837379214321126,0.0,0.23620753978211378,0.5480083706974984,0.1454855734407902,0.0,0.0,0.6182698990062416,11.747128081118593,0.4629464518214474,-0.10004672032458116
